"Feb 15, 1988",15.68
"Feb 16, 1988",15.63
"Feb 17, 1988",15.85
"Feb 18, 1988",15.48
"Feb 19, 1988",15.55
"Feb 22, 1988",15.38
"Feb 23, 1988",15.58
"Feb 24, 1988",15.35
"Feb 25, 1988",14.85
"Feb 26, 1988",14.65
"Feb 29, 1988",14.73
"Mar 01, 1988",14.18
"Mar 02, 1988",13.8
"Mar 03, 1988",14
"Mar 04, 1988",14
"Mar 07, 1988",13.9
"Mar 08, 1988",13.8
"Mar 09, 1988",13.98
"Mar 10, 1988",14.48
"Mar 11, 1988",14.88
"Mar 14, 1988",14.28
"Mar 15, 1988",14.3
"Mar 16, 1988",14.45
"Mar 17, 1988",14.43
"Mar 18, 1988",14.93
"Mar 21, 1988",15.38
"Mar 22, 1988",15.03
"Mar 23, 1988",15.4
"Mar 24, 1988",15.65
"Mar 25, 1988",15.45
"Mar 28, 1988",15.55
"Mar 29, 1988",15.6
"Mar 30, 1988",15.7
"Mar 31, 1988",15.65
"Apr 05, 1988",15.5
"Apr 06, 1988",15.38
"Apr 07, 1988",15.53
